mes_id,aeropuerto_oaci,total_operaciones,promedio_operaciones,max_operaciones,min_operaciones,cantidad_registros
200008.0,SCDA,1325.0,1325.0,1325.0,1325.0,1
200008.0,SCEL,6287.0,1257.4,3329.0,12.0,5
200008.0,SCFA,1600.0,1600.0,1600.0,1600.0,1
200008.0,SCFM,154.0,154.0,154.0,154.0,1
200008.0,SCFT,4.0,4.0,4.0,4.0,1
200008.0,SCGE,153.0,153.0,153.0,153.0,1
200008.0,SCGZ,39.0,19.5,36.0,3.0,2
200008.0,SCHA,378.0,189.0,375.0,3.0,2
200008.0,SCHR,40.0,40.0,40.0,40.0,1
200008.0,SCIC,482.0,482.0,482.0,482.0,1
200008.0,SCIE,1320.0,660.0,1316.0,4.0,2
200008.0,SCIP,34.0,17.0,17.0,17.0,2
200008.0,SCJO,474.0,474.0,474.0,474.0,1
200008.0,SCLC,647.0,647.0,647.0,647.0,1
200008.0,SCLL,55.0,55.0,55.0,55.0,1
200008.0,SCNT,2.0,2.0,2.0,2.0,1
200008.0,SCRD,395.0,395.0,395.0,395.0,1
200008.0,SCSE,870.0,870.0,870.0,870.0,1
200008.0,SCSR,10.0,10.0,10.0,10.0,1
200008.0,SCTC,981.0,490.5,964.0,17.0,2
200008.0,SCTE,1267.0,1267.0,1267.0,1267.0,1
200008.0,SCTI,2131.0,2131.0,2131.0,2131.0,1
200008.0,SCTN,153.0,153.0,153.0,153.0,1
200008.0,SCVD,219.0,109.5,217.0,2.0,2
200008.0,SCVM,174.0,174.0,174.0,174.0,1
200009.0,SCAR,614.0,307.0,515.0,99.0,2
200009.0,SCBA,262.0,262.0,262.0,262.0,1
200009.0,SCCC,58.0,58.0,58.0,58.0,1
200009.0,SCCF,325.0,325.0,325.0,325.0,1
200009.0,SCCH,263.0,263.0,263.0,263.0,1
200009.0,SCCI,603.0,301.5,583.0,20.0,2
200009.0,SCCY,171.0,171.0,171.0,171.0,1
200009.0,SCDA,1586.0,793.0,1526.0,60.0,2
200009.0,SCEL,7764.0,1552.8,3271.0,2.0,5
200009.0,SCFA,1535.0,767.5,1532.0,3.0,2
200009.0,SCFM,152.0,152.0,152.0,152.0,1
200009.0,SCGE,157.0,157.0,157.0,157.0,1
200009.0,SCGZ,202.0,101.0,174.0,28.0,2
200009.0,SCHR,24.0,24.0,24.0,24.0,1
200009.0,SCIC,438.0,438.0,438.0,438.0,1
200009.0,SCIE,1245.0,622.5,1238.0,7.0,2
200009.0,SCIP,38.0,19.0,20.0,18.0,2
200009.0,SCJO,672.0,672.0,672.0,672.0,1
200009.0,SCLC,1057.0,1057.0,1057.0,1057.0,1
200009.0,SCLL,174.0,174.0,174.0,174.0,1
200009.0,SCRD,396.0,396.0,396.0,396.0,1
200009.0,SCSE,831.0,831.0,831.0,831.0,1
200009.0,SCSR,22.0,22.0,22.0,22.0,1
200009.0,SCTB,4183.0,4183.0,4183.0,4183.0,1
200009.0,SCTC,9.0,9.0,9.0,9.0,1
200009.0,SCTE,48.0,48.0,48.0,48.0,1
200009.0,SCTI,1886.0,1886.0,1886.0,1886.0,1
200009.0,SCTN,177.0,177.0,177.0,177.0,1
200009.0,SCVD,183.0,183.0,183.0,183.0,1
200009.0,SCVM,303.0,303.0,303.0,303.0,1
200010.0,NAN,568.0,568.0,568.0,568.0,1
200010.0,SCAC,4.0,4.0,4.0,4.0,1
200010.0,SCAR,123.0,123.0,123.0,123.0,1
200010.0,SCCC,82.0,82.0,82.0,82.0,1
200010.0,SCCF,274.0,137.0,273.0,1.0,2
200010.0,SCCH,348.0,348.0,348.0,348.0,1
200010.0,SCCI,689.0,344.5,662.0,27.0,2
200010.0,SCCY,294.0,294.0,294.0,294.0,1
200010.0,SCDA,1477.0,738.5,1417.0,60.0,2
200010.0,SCEL,7204.0,1440.8,3358.0,16.0,5
200010.0,SCES,83.0,83.0,83.0,83.0,1
200010.0,SCFA,1648.0,824.0,1642.0,6.0,2
200010.0,SCFM,312.0,312.0,312.0,312.0,1
200010.0,SCGE,185.0,185.0,185.0,185.0,1
200010.0,SCGZ,4.0,4.0,4.0,4.0,1
200010.0,SCHA,389.0,389.0,389.0,389.0,1
200010.0,SCHR,174.0,174.0,174.0,174.0,1
200010.0,SCIC,686.0,686.0,686.0,686.0,1
200010.0,SCIE,1446.0,723.0,1443.0,3.0,2
200010.0,SCIP,42.0,21.0,25.0,17.0,2
200010.0,SCLC,984.0,984.0,984.0,984.0,1
200010.0,SCLL,54.0,54.0,54.0,54.0,1
200010.0,SCNT,175.0,87.5,174.0,1.0,2
200010.0,SCRD,865.0,865.0,865.0,865.0,1
200010.0,SCSE,862.0,862.0,862.0,862.0,1
200010.0,SCTB,5615.0,5615.0,5615.0,5615.0,1
200010.0,SCTC,1437.0,718.5,1421.0,16.0,2
200010.0,SCTE,1354.0,677.0,1316.0,38.0,2
200010.0,SCTI,2321.0,2321.0,2321.0,2321.0,1
200010.0,SCTN,197.0,197.0,197.0,197.0,1
200010.0,SCVD,182.0,182.0,182.0,182.0,1
200010.0,SCVM,356.0,356.0,356.0,356.0,1
200011.0,SCAR,637.0,318.5,529.0,108.0,2
200011.0,SCBA,345.0,172.5,341.0,4.0,2
200011.0,SCCC,86.0,86.0,86.0,86.0,1
200011.0,SCCF,404.0,404.0,404.0,404.0,1
200011.0,SCCH,6.0,6.0,6.0,6.0,1
200011.0,SCCI,199.0,99.5,174.0,25.0,2
200011.0,SCCY,4.0,4.0,4.0,4.0,1
200011.0,SCDA,1449.0,724.5,1391.0,58.0,2
200011.0,SCEL,6107.0,3053.5,3330.0,2777.0,2
200011.0,SCES,551.0,551.0,551.0,551.0,1
200011.0,SCFA,1648.0,824.0,1644.0,4.0,2
200011.0,SCFM,178.0,178.0,178.0,178.0,1
200011.0,SCFT,8.0,8.0,8.0,8.0,1
200011.0,SCGE,276.0,276.0,276.0,276.0,1
200011.0,SCGZ,61.0,30.5,40.0,21.0,2
200011.0,SCHA,400.0,200.0,396.0,4.0,2
200011.0,SCHR,34.0,34.0,34.0,34.0,1
200011.0,SCIC,722.0,722.0,722.0,722.0,1
200011.0,SCIE,1435.0,717.5,1434.0,1.0,2
200011.0,SCIP,47.0,23.5,28.0,19.0,2
200011.0,SCJO,1052.0,1052.0,1052.0,1052.0,1
200011.0,SCLC,1503.0,1503.0,1503.0,1503.0,1
200011.0,SCLL,33.0,33.0,33.0,33.0,1
200011.0,SCNT,13.0,13.0,13.0,13.0,1
200011.0,SCRD,520.0,520.0,520.0,520.0,1
200011.0,SCRM,2.0,2.0,2.0,2.0,1
200011.0,SCSE,922.0,922.0,922.0,922.0,1
200011.0,SCSR,22.0,22.0,22.0,22.0,1
200011.0,SCTB,6838.0,6838.0,6838.0,6838.0,1
200011.0,SCTC,1523.0,761.5,1516.0,7.0,2
200011.0,SCTE,1440.0,1440.0,1440.0,1440.0,1
200011.0,SCTI,3068.0,3068.0,3068.0,3068.0,1
200011.0,SCTN,265.0,265.0,265.0,265.0,1
200011.0,SCVD,172.0,172.0,172.0,172.0,1
200011.0,SCVM,314.0,314.0,314.0,314.0,1
200012.0,SCAP,4.0,4.0,4.0,4.0,1
200012.0,SCBA,181.0,90.5,174.0,7.0,2
200012.0,SCCC,100.0,100.0,100.0,100.0,1
200012.0,SCCF,387.0,387.0,387.0,387.0,1
200012.0,SCCH,410.0,410.0,410.0,410.0,1
200012.0,SCCI,722.0,361.0,700.0,22.0,2
200012.0,SCCY,343.0,343.0,343.0,343.0,1
200012.0,SCDA,1486.0,743.0,1430.0,56.0,2
200012.0,SCEL,6781.0,1695.25,3200.0,29.0,4
200012.0,SCES,61.0,61.0,61.0,61.0,1
200012.0,SCFA,1668.0,834.0,1665.0,3.0,2
200012.0,SCFM,148.0,148.0,148.0,148.0,1
200012.0,SCFT,174.0,174.0,174.0,174.0,1
200012.0,SCGE,233.0,233.0,233.0,233.0,1
200012.0,SCGZ,68.0,34.0,60.0,8.0,2
200012.0,SCHA,346.0,173.0,344.0,2.0,2
200012.0,SCHR,40.0,40.0,40.0,40.0,1
200012.0,SCIC,431.0,431.0,431.0,431.0,1
200012.0,SCIE,1499.0,1499.0,1499.0,1499.0,1
200012.0,SCIP,20.0,20.0,20.0,20.0,1
200012.0,SCJO,879.0,879.0,879.0,879.0,1
200012.0,SCLC,1525.0,1525.0,1525.0,1525.0,1
200012.0,SCLL,27.0,27.0,27.0,27.0,1
