mes_id,aeropuerto_oaci,internacional_domestico,cnt_operaciones,categoria_operacion
200101.0,SCEL,I,3239.0,MUY ALTA
200101.0,SCES,D,61.0,BAJA
200101.0,SCFA,D,1741.0,MUY ALTA
200101.0,SCFA,I,174.0,MEDIA
200101.0,SCEL,D,150.0,MEDIA
200101.0,SCFT,D,50.0,BAJA
200101.0,SCGE,D,179.0,MEDIA
200101.0,SCGZ,D,76.0,BAJA
200101.0,SCEL,I,12.0,BAJA
200101.0,SCHA,D,1806.0,MUY ALTA
200101.0,SCHA,I,4.0,BAJA
200101.0,SCHR,D,42.0,BAJA
200101.0,SCIC,D,487.0,MEDIA
200101.0,SCIE,D,1426.0,MUY ALTA
202301.0,SCIP,D,43.0,BAJA
200101.0,SCIP,I,22.0,BAJA
200101.0,SCJO,D,914.0,ALTA
200101.0,SCLC,D,24.0,BAJA
200101.0,SCLL,D,16.0,BAJA
200101.0,SCNT,D,30.0,BAJA
200101.0,SCRD,D,711.0,ALTA
200101.0,SCRM,D,17.0,BAJA
200101.0,SCSE,D,805.0,ALTA
200101.0,SCSE,I,8.0,BAJA
200101.0,SCTB,D,6596.0,MUY ALTA
200101.0,SCTC,D,1418.0,MUY ALTA
200101.0,SCTC,I,4.0,BAJA
200101.0,SCTE,D,2028.0,MUY ALTA
200101.0,SCTE,I,54.0,BAJA
200101.0,SCTI,D,2215.0,MUY ALTA
200101.0,SCTN,D,277.0,MEDIA
200101.0,SCVD,D,236.0,MEDIA
200101.0,SCVM,D,392.0,MEDIA
200102.0,SCAC,D,6.0,BAJA
200102.0,SCAP,D,174.0,MEDIA
202301.0,SCAR,D,494.0,MEDIA
200102.0,SCAR,I,79.0,BAJA
200102.0,SCBA,D,460.0,MEDIA
200102.0,SCCC,D,72.0,BAJA
200102.0,SCCF,I,5.0,BAJA
200102.0,SCCH,D,175.0,MEDIA
200102.0,SCCI,D,790.0,ALTA
200102.0,SCCI,I,26.0,BAJA
200102.0,SCCY,D,432.0,MEDIA
200102.0,SCCY,I,3.0,BAJA
200102.0,SCDA,D,1308.0,MUY ALTA
200102.0,SCDA,I,88.0,BAJA
200102.0,SCEL,D,174.0,MEDIA
200102.0,SCEL,I,2957.0,MUY ALTA
200102.0,SCES,D,51.0,BAJA
200102.0,SCFA,D,1662.0,MUY ALTA
200102.0,SCFA,I,2.0,BAJA
200102.0,SCFM,D,130.0,MEDIA
200102.0,SCFT,D,30.0,BAJA
