mes_id,aeropuerto_oaci,internacional_domestico,cnt_operaciones
200012.0,SCFM,D  ,148.0
200012.0,SCFT,D,
200012.0,SCGE,D,233.0  
200012.0,SCGZ,D,60.0
200012.0,SCGZ,I,8.0
200012.0,SCHA,D,344.0
200012.0,SCHA,,2.0
200012.0,SCHR,D,40.0
200012.0,SCIC,D,431.0
200012.0,SCIE,D,1499.0
200012.0,,D,29.0
200012.0,SCIP,I,20.0
200012.0,SCJO,D,879.0  
200012.0,SCLC,D,1525.0
200012.0,SCLL,D,27.0
,SCNT,D,31.0  
200012.0,SCNT,I,2.0
200012.0,SCRD,D,533.0
,SCRM,D,14.0
200012.0,SCSE,D,797.0  
200012.0,SCSE,I,
200012.0,SCSR,D,
200012.0,SCTB,D,6741.0
200012.0,SCTC,D  ,1257.0
200012.0,SCTC,I,1.0
200012.0,SCTE,D,1788.0
200012.0,SCTE,I,56.0
200012.0,SCTI,,2386.0
200012.0,SCTN,D,224.0
200012.0,SCVD,D,242.0
200012.0,SCVM,D,370.0
200101.0,SCAC,D,6.0
200101.0,SCAP,D,11.0
200101.0,SCAR,D,530.0
200101.0,SCAR,I,131.0
200101.0,SCBA,D,457.0
,SCBA,I,1.0
,SCCC,D,84.0
200101.0,SCCF,D,420.0
200101.0,SCCF,I,2.0
200101.0,SCCH,D,214.0
200101.0,SCCI,D,813.0
200101.0,SCCI,I,37.0
200101.0  ,SCCY,D,431.0
200101.0,SCDA,D,1438.0
200101.0,SCDA,I,73.0
200101.0,SCEL,D,3478.0
200101.0,SCEL,I,3239.0
200101.0,SCES,D,61.0
200101.0,SCFA,D,1741.0
200101.0,SCFA,I,
200101.0,,D,150.0
200101.0,SCFT,,50.0
200101.0,SCGE,D,179.0
200101.0,SCGZ,D,76.0
200101.0,,I,12.0
200101.0,SCHA,D,1806.0
200101.0,SCHA,I,4.0
200101.0,SCHR,D,42.0
200101.0,SCIC,D,487.0
200101.0,SCIE,D,1426.0
,SCIP,D,43.0
200101.0,SCIP,I,22.0
200101.0,SCJO,D,914.0
200101.0,SCLC,D,24.0
200101.0,SCLL,D,16.0
200101.0,SCNT,,30.0
200101.0,SCRD,,711.0
200101.0,SCRM,D,17.0
200101.0,SCSE,D,805.0
200101.0,SCSE,I,8.0
200101.0,SCTB,D,6596.0  
